@relation C:\Users\Mayumi\Dropbox\Faculdade\TCC\2014\Implementação\TCC\RGBsemFundo.arff
@attribute media_r real
@attribute media_g real
@attribute media_b real
@attribute media_cinza real
@attribute variancia_r real
@attribute variancia_g real
@attribute variancia_b real
@attribute variancia_cinza real
@attribute desvio_padrao_r real
@attribute desvio_padrao_g real
@attribute desvio_padrao_b real
@attribute desvio_padrao_cinza real
@attribute classes{1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0}
@data
68.0,97.0,26.0,63.0,16849.893533333332,13986.93295,23653.18787222222,17554.060927777777,129.8071397625467,118.26636440679151,153.79592930966092,132.49173909258562,8.0
71.0,98.0,59.0,76.0,20418.85905833333,18122.035036111112,23514.475747222223,20172.544433333333,142.89457322912347,134.6181081285542,153.34430458032088,142.03008284632284,8.0
47.0,64.0,28.0,46.0,27733.2362547951,25055.616833678174,31941.82735833322,27946.58689331548,166.5329884881524,158.2896611711522,178.72276675995485,167.17232693635475,8.0
56.0,52.0,11.0,40.0,34741.15483611111,35275.466433333335,43749.10946388889,36594.307377777775,186.38979273584462,187.81764143267623,209.16287783421055,191.29638621201858,14.0
29.0,36.0,20.0,28.0,41923.09846944444,40521.649994444444,43978.91465,42091.95757222222,204.7513088345089,201.29990063197857,209.711503380239,205.1632461534527,15.0
37.0,21.0,29.0,29.0,32700.288427777778,36242.470197222225,34210.31408888889,34251.23963333333,180.83221070312052,190.37455238876393,184.9603040895232,185.07090434029152,15.0
73.0,76.0,32.0,60.0,26304.153763888888,26085.159513888888,32705.110177777777,27732.446219444446,162.18555349934496,161.50900753174383,180.84554232210917,166.53061646269268,15.0
24.0,22.0,11.0,19.0,44766.967330555555,45032.83565,48021.28633055556,45714.81293888889,211.58205814897337,212.20941461207607,219.1375967983485,213.810226460029,1.0
37.0,31.0,14.0,27.0,42381.567330555554,42946.220825,47108.483225,43691.894275,205.8678394760958,207.23469985743216,217.0448875808873,209.0260612340002,1.0
22.0,20.0,12.0,18.0,45235.02555277778,45677.835125,47881.23398333333,46123.94458055556,212.68527347415895,213.72373552088217,218.81781002316364,214.7648588120402,1.0
90.0,76.0,20.0,62.0,22338.776794444446,23463.244194444444,32237.99913611111,24663.268044444445,149.4616231493705,153.17716603477308,179.54943368362683,157.04543305822187,12.0
114.0,95.0,3.0,70.0,17984.637597222223,18614.317655555555,32730.883480555556,20591.355369444445,134.10681413419016,136.43429794430563,180.9167860662895,143.49688278650672,12.0
103.0,81.0,5.0,63.0,21121.040411111113,21748.906519444445,33527.60531111111,22976.869919444445,145.33079649926617,147.47510474464647,183.1054486112063,151.58123208182616,12.0
50.0,78.0,37.0,55.0,21835.058544444444,18401.58431111111,23737.315244444446,20977.765155555557,147.76690612056694,135.6524393850369,154.06918979615764,144.83702964213109,8.0
49.0,75.0,16.0,46.0,19934.8007,16114.303025,25227.4197,19925.30885,141.1906537275042,126.94212470649764,158.83141912102906,141.15703613352045,8.0
52.0,66.0,25.0,48.0,25253.71345,23078.289933333333,30645.70980277778,25793.19146388889,158.9141700730303,151.91540387114577,175.05916086505664,160.6025885964759,8.0
50.0,16.0,12.0,26.0,37495.568458333335,44361.017669444445,45357.651127777775,41271.82510555555,193.6377247809252,210.6205537677756,212.97335778866278,203.15468270644305,13.0
77.0,26.0,27.0,43.0,25417.61966111111,33549.879975,33000.21195,29514.47588611111,159.4290427152817,183.16626320095085,181.65960461808783,171.7977761384329,13.0
112.0,49.0,23.0,61.0,14483.174605555556,21017.50067222222,25008.56776111111,18843.90540277778,120.34606186143175,144.9741379426766,158.14097432705765,137.27310516914002,5.0
14.0,7.0,6.0,9.0,53202.86525833333,55213.306066666664,55535.36825555556,54486.21991666667,230.65746304495187,234.97511797351368,235.65943277440763,233.4228350369061,4.0
54.0,31.0,28.0,38.0,36218.55508888889,41136.009633333335,41684.93359166667,38814.013788888886,190.31173134856635,202.82014109386014,204.1688849743434,197.01272494153488,4.0
9.0,6.0,6.0,7.0,54888.27898055556,55926.96668333333,55767.47511388889,55480.77339722222,234.2824768960657,236.4888299335369,236.15138177425277,235.5435700612993,4.0
111.0,73.0,30.0,71.0,19299.0653,20856.585288888888,26902.112241666666,21019.767397222222,138.92107579485554,144.4180919721933,164.0186338245343,144.9819554193632,5.0
85.0,58.0,26.0,56.0,28297.60607777778,27291.58402777778,30368.06341111111,27307.71069722222,168.21892306687076,165.20164656497155,174.26434922585602,165.25044840248458,5.0
48.0,42.0,16.0,35.0,32843.377436111114,33597.96406666667,39413.29382222222,34940.89182777778,181.22741910679827,183.29747425064718,198.52781624301977,186.9248293506718,6.0
43.0,31.0,16.0,30.0,36886.89623888889,38979.11314166667,42510.40696388889,39079.033566666665,192.05961636660865,197.43128713977092,206.18052033082293,197.6841763183555,6.0
34.0,26.0,17.0,25.0,38254.759541666666,39971.395508333335,42255.68120277778,40259.57263055556,195.58823978365024,199.92847598162032,205.56186709304276,200.6478821980326,6.0
69.0,52.0,8.0,43.0,31059.889227777778,29663.49961388889,37665.41403611111,30839.97588611111,176.23816053221213,172.23094847874725,194.0757945651933,175.61314269185866,7.0
75.0,54.0,14.0,48.0,28957.36288611111,27596.751119444445,33908.72959722222,28030.405269444444,170.16863073466598,166.12269898916418,184.14323120120983,167.42283377557686,7.0
71.0,46.0,9.0,42.0,31812.6285,33350.032936111114,39223.352008333335,32962.95384722222,178.36095004232288,182.61991385418818,198.0488626787171,181.5570264330803,7.0
111.0,63.0,6.0,60.0,16313.454925,17480.141877777776,23973.362705555555,17111.01126388889,127.72413603152695,132.21248760150374,154.83333848223887,130.80906415034428,7.0
74.0,35.0,29.0,46.0,21744.208983333334,27306.672308333335,28396.12776666667,25243.53423888889,147.45917734523454,165.24730650855807,168.51150633314828,158.8821394584328,9.0
73.0,30.0,29.0,44.0,19765.07921111111,26937.629502777778,26537.098555555556,23711.810558333334,140.58833241457526,164.12687014251438,162.90211341647952,153.98639731591012,9.0
127.0,57.0,46.0,76.0,11015.519747222223,17036.673627777778,18230.692725,14494.721369444444,104.9548462302824,130.52460928031073,135.0210825204716,120.39402547238149,9.0
51.0,54.0,42.0,49.0,29393.551925,29426.738755555554,31282.916852777777,29827.049783333332,171.4454779951924,171.54223606900882,176.8697737115581,172.7050948389576,10.0
87.0,56.0,10.0,51.0,26203.050141666667,28276.782433333334,37415.696683333335,28762.30830277778,161.8735622072569,168.15701719920384,193.4313746095326,169.59454089910378,10.0
52.0,58.0,30.0,47.0,23371.324169444444,22458.26353888889,27231.712302777778,23992.858775,152.87682679021188,149.8608138870495,165.0203390578803,154.8962839289568,11.0
58.0,62.0,29.0,49.0,20632.095283333332,19819.385327777778,25249.754605555554,21824.505105555556,143.63876664512728,140.7813387057311,158.9017136646284,147.73119205352523,11.0
68.0,49.0,1.0,39.0,33211.59832777778,31778.390219444445,36031.03748333333,31024.60808888889,182.24049585033995,178.26494388814768,189.81843293877793,176.13803703030442,12.0
54.0,45.0,22.0,40.0,37467.611516666664,37533.15706388889,39731.88967222222,37569.838480555554,193.56552254124873,193.7347595654659,199.32859722634436,193.82940561368792,3.0
